"authorMeta/avatar","authorMeta/digg","authorMeta/fans","authorMeta/following","authorMeta/heart","authorMeta/id","authorMeta/name","authorMeta/nickName","authorMeta/signature","authorMeta/verified","authorMeta/video","commentCount","createTime","diggCount","downloaded","hashtags/0/cover","hashtags/0/id","hashtags/0/name","hashtags/0/title","hashtags/1/cover","hashtags/1/id","hashtags/1/name","hashtags/1/title","hashtags/2/cover","hashtags/2/id","hashtags/2/name","hashtags/2/title","hashtags/3/cover","hashtags/3/id","hashtags/3/name","hashtags/3/title","hashtags/4/cover","hashtags/4/id","hashtags/4/name","hashtags/4/title","hashtags/5/cover","hashtags/5/id","hashtags/5/name","hashtags/5/title","hashtags/6/cover","hashtags/6/id","hashtags/6/name","hashtags/6/title","hashtags/7/cover","hashtags/7/id","hashtags/7/name","hashtags/7/title","hashtags/8/cover","hashtags/8/id","hashtags/8/name","hashtags/8/title","hashtags/9/cover","hashtags/9/id","hashtags/9/name","hashtags/9/title","hashtags/10/cover","hashtags/10/id","hashtags/10/name","hashtags/10/title","hashtags/11/cover","hashtags/11/id","hashtags/11/name","hashtags/11/title","hashtags/12/cover","hashtags/12/id","hashtags/12/name","hashtags/12/title","hashtags/13/cover","hashtags/13/id","hashtags/13/name","hashtags/13/title","hashtags/14/cover","hashtags/14/id","hashtags/14/name","hashtags/14/title","hashtags/15/cover","hashtags/15/id","hashtags/15/name","hashtags/15/title","hashtags/16/cover","hashtags/16/id","hashtags/16/name","hashtags/16/title","hashtags/17/cover","hashtags/17/id","hashtags/17/name","hashtags/17/title","id","mediaUrls/0","mentions/0","musicMeta/musicAlbum","musicMeta/musicAuthor","musicMeta/musicName","musicMeta/musicOriginal","musicMeta/playUrl","playCount","searchHashtag/name","searchHashtag/views","shareCount","text","videoMeta/duration","videoMeta/height","videoMeta/width","webVideoUrl"
"https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/25ac57f60324896ab2c77b09e4dd5c4c.jpeg?x-expires=1648836000&x-signature=6TpnUU%2Bk2cOwXDuak5Lg447u4to%3D","72800","2400000","113","37200000","6802622695622034437","eliefeghaly7","Elie Feghaly","Elie Feghaly
📍Dubai ❤️
🏠Real Estate
   Follow me on IG 👆🏻","true","935","396000","1613016565","16600000","false","","1669656542220293","eliefeghaly7","","","10648","dubai","","","11946","uae","","","44592596","visitdubai","","","8666","amazing","","","136797","ksa","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","141707","moscow","","","229207","fyp","","","88764338","foryoupage","","","20884","viral","","","18915","abovetheclouds","","","10094","italy","🇮🇹 Bella Italia 🇮🇹","","14116","india","Hi India!!!😘😘😘","","42801","uk","","","9843","usa","","","11946","uae","",,,,,"6927853379196652802","https://v16-webapp.tiktok.com/3f824b0621562bfa632ff0bbacf9801f/624643a5/video/tos/alisg/tos-alisg-pve-0037c001/179fd00bb1df4e3da1c2265bea7f3c85/?a=1988&br=2206&bt=1103&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3E7nz7ThwX9zDXq&l=2022033118131101019103203918598729&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3VxazZrdXZkMzMzOjczM0ApNWZnNWk5M2Q3N2Q5PGRoN2dfb2deaWpob2ZgLS1iMTRzc2BfMWAwYGAzMjE2LTQxLTM6Yw%3D%3D&vl=&vr=","@whatsondubai","In The End","Tommee Profitt & Fleurie & Mellen Gi","In The End - Mellen Gi Remix","false","https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/ee731b9e546a4511baa800e4bc456756","136800000","russia","58.2B","502800","@whatsondubai #eliefeghaly7 #dubai #uae #visitdubai #amazing #ksa #russia #moscow #fyp #foryoupage #viral #abovetheclouds #italy #india #uk #usa #uae","14","960","540","https://www.tiktok.com/@eliefeghaly7/video/6927853379196652802"
"https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/9bbc0da0117fbbab13ae95e5f168546c.jpeg?x-expires=1648836000&x-signature=RZaSzQLL3W%2F2SyXOJHNRnB0Tzx8%3D","28200","2700000","124","65600000","6712501085695214598","stasyasingerr","stasyasingerr","Люблю вас❤️
👇🏽Реклама/Pr👇🏽","false","1040","119000","1637767391","12000000","false","","9690","bear","","","229207","fyp","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7034157377821773058","https://v16-webapp.tiktok.com/c2b9ea17cd03732df2a4748358cc33f8/6246439f/video/tos/alisg/tos-alisg-pve-0037c001/88a296514f424a42b29d15150dc58d25/?a=1988&br=4652&bt=2326&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3E7nz7ThwX9zDXq&l=2022033118131101019103203918598729&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2d2ZjY6ZnA4OTMzODczNEApZGc2Zjk2ZGU6N2dmOzU6OmdhamZhcjRnZWNgLS1kMS1zc2E1MjZeNC0xMDY1MTVhMGI6Yw%3D%3D&vl=&vr=",,"","carlos ♚","K Flays High Enough ozuedits","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7021982844667185926.mp3","49900000","russia","58.2B","182300","Мне кажется, можно закрывать тренд #bear #fyp #russia","8","1024","576","https://www.tiktok.com/@stasyasingerr/video/7034157377821773058"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5b4a4660bffdaec028949eae2b8e032f~c5_720x720.jpeg?x-expires=1648836000&x-signature=DPE67z3tMcZrQzcJFGpWiS60V0E%3D","11200","91700","163","8400000","7004171213342262278","polakniko","🇵🇱 Niko 🇵🇱","Thanks for 
90k! 
🇵🇱❤️🇺🇦
Idk what to post anymore 🙃","false","179","203500","1644945568","8000000","false","","229207","fyp","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","451042","ukraine","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7064987416897146117","https://v16-webapp.tiktok.com/1bd39b580198ca6d0cdc14a85c3f976a/624643c1/video/tos/useast2a/tos-useast2a-ve-0068c002/646e8874701a4cac91f480572608c402/?a=1988&br=2316&bt=1158&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3E7nz7ThwX9zDXq&l=2022033118131101019103203918598729&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3hlOjU6ZmR4OzMzNzczM0ApODVnZmhkM2RnNzQ2Nzw4NmctZDRqcjQwLTJgLS1kMTZzc2E1NV8wNWMvMzZhMTVjLTU6Yw%3D%3D&vl=&vr=",,"","🇵🇱 Niko 🇵🇱","All Alone","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7064987402146056965.mp3","52400000","russia","58.2B","146800","#fyp #russia #ukraine","41","1032","576","https://www.tiktok.com/@polakniko/video/7064987416897146117"
"https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/9bbc0da0117fbbab13ae95e5f168546c.jpeg?x-expires=1648836000&x-signature=RZaSzQLL3W%2F2SyXOJHNRnB0Tzx8%3D","28200","2700000","124","65600000","6712501085695214598","stasyasingerr","stasyasingerr","Люблю вас❤️
👇🏽Реклама/Pr👇🏽","false","1040","53000","1637854825","7800000","false","","9690","bear","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","229207","fyp","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7034532905741339905","https://v16-webapp.tiktok.com/af021ba33ef91643b244f392dfb8e598/624643a1/video/tos/alisg/tos-alisg-pve-0037c001/c6de66e1c7c143c98e34644e9b4dd97a/?a=1988&br=4610&bt=2305&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3E7nz7ThwX9zDXq&l=2022033118131101019103203918598729&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amQ3cTY6ZnJ0OTMzODczNEApZDVmNWYzM2Q0N2UzODZpZmdoMGZfcjRncGNgLS1kMS1zcy8uLWJhLWMvMTYuMl81YDY6Yw%3D%3D&vl=&vr=",,"","1sis","rowdy rebel x 1sis","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7017497245922904838.mp3","41800000","russia","58.2B","52000","Можно еще один тренд закрыть? 😅 #bear #russia #fyp","9","1024","576","https://www.tiktok.com/@stasyasingerr/video/7034532905741339905"
"https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/92c150305c227ec912e2d6b15746bd0b.jpeg?x-expires=1648836000&x-signature=09%2BqxdjCh5HTLG0LhxNXhvuzOdg%3D","662","1300000","557","10200000","6804747834517947397","miss.marhaba","miss.marhaba","👇👇👇","false","28","209200","1641994703","7600000","false","","1647362418615302","marxaba","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","269340","russiangirl","","","9351","fake","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7052313547895835906","https://v16-webapp.tiktok.com/b2dd368e08e4feb2c13bc49258f7a676/624643a6/video/tos/alisg/tos-alisg-pve-0037c001/147ebca389194c9c90e85bb169d0af05/?a=1988&br=2156&bt=1078&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3E7nz7ThwX9zDXq&l=2022033118131101019103203918598729&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3NodTo6ZmxnOjMzODczNEApZDtoPGU8NmU6Nzc4ZDU6OmdgazAwcjRvZmNgLS1kMS1zczY0YV9hXzYwYDRgMzMxMy46Yw%3D%3D&vl=&vr=",,"","miss.marhaba","оригинальный звук","true","https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7052313547967236865.mp3","174800000","russia","58.2B","343500","Herring with milk. Russian girl. Marxaba. Fake situation ⚠️ Fake body ⚠️ 18+ #marxaba #russia #russiangirl #fake","14","1024","576","https://www.tiktok.com/@miss.marhaba/video/7052313547895835906"
"https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/25ac57f60324896ab2c77b09e4dd5c4c.jpeg?x-expires=1648836000&x-signature=6TpnUU%2Bk2cOwXDuak5Lg447u4to%3D","72800","2400000","113","37200000","6802622695622034437","eliefeghaly7","Elie Feghaly","Elie Feghaly
📍Dubai ❤️
🏠Real Estate
   Follow me on IG 👆🏻","true","935","125600","1625571995","7500000","false","","1669656542220293","eliefeghaly7","","","10648","dubai","","","2170","realestate","","","6417","live","","https://p16-amd-va.tiktokcdn.com/obj/musically-maliva-obj/869537d80734587be98500fe3d2442b7.jpeg","4231","love","Spread the #Love this Valentine's Day ❤️.","","229207","fyp","","","42164","foryou","","","152225","saudi","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","10515","world","","","9843","usa","","","136797","ksa","","","42801","uk","","","14848","canada","","","85162","australia","From places to people, show us what makes up #Australia.","","84797","egypt","","","20884","viral","","","144012","lebanon","","6981778541012634882","https://v16-webapp.tiktok.com/20a963c5d1d4b70e2481502c299af1f4/624643aa/video/tos/alisg/tos-alisg-pve-0037c001/87a23372c35f4c8eb169c7b94d62bf57/?a=1988&br=1614&bt=807&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3E7nz7ThwX9zDXq&l=2022033118131101019103203918598729&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MztkZWU6ZjY3NjMzODczNEApMzQ2Z2Y5ZmQ7NzdkZjRkOmdtc25ycjRvMmZgLS1kMS1zcy8uYy1gM181NC1jXzAtXmE6Yw%3D%3D&vl=&vr=","@emaardubai","","absolutesnacc","originalljud","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6948086556637022982.mp3","61900000","russia","58.2B","174300","@emaardubai #eliefeghaly7 #dubai #realestate #live #love #fyp #foryou #saudi #russia #world #usa #ksa #uk #canada #australia #egypt #viral #lebanon","18","960","540","https://www.tiktok.com/@eliefeghaly7/video/6981778541012634882"
"https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/f43350891cc44d8a561a9db46f475600~c5_720x720.jpeg?x-expires=1648836000&x-signature=TEWh9TNqTqEPJ9L0yoJtSDud3JU%3D","5247","107700","69","14300000","6775741132745720834","cheddygrace","Cheddy Grace","Analyst/Part-Time Blogger
whatever it is
Batang 90s","false","756","23200","1645763906","7500000","false","","229207","fyp","","","68530924","globalnews","","","451042","ukraine","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7068502149226925339","https://v16-webapp.tiktok.com/5bbaaa8bde4e1f65de26139f6418cfad/624643a9/video/tos/useast2a/tos-useast2a-pve-0037-aiso/4e3aaf311a6f487ca1719fe033643803/?a=1988&br=1104&bt=552&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3E7nz7ThwX9zDXq&l=2022033118131101019103203918598729&lr=tiktok&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ang1Ozg6ZmY4OzMzZjgzM0ApNDc5aWY6aGQ2N2ZnOTdkPGdqbGJvcjRvbGBgLS1kL2NzczBeMDQ1NV9jNTBiNGI1YDE6Yw%3D%3D&vl=&vr=",,"Only Love Can Hurt Like This (Slowed Down Version)","Paloma Faith","Only Love Can Hurt Like This (Slowed Down Version)","false","https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/9ddfb4c3721e46c68914ff0806c95890","31300000","russia","58.2B","176500","Emotional moment as Ukraine soldiers left wives for war 💔☹️ #fyp #globalnews  #ukraine #russia","17","1024","576","https://www.tiktok.com/@cheddygrace/video/7068502149226925339"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/aca26737d18ffa605333e55a70ae7d51~c5_720x720.jpeg?x-expires=1648836000&x-signature=gbiIWIxnZElDXjrmhwy%2F%2FrXmrwk%3D","1224","1100000","189","56400000","6883093738927719429","adilrevi","Adil","да?","false","147","84400","1620090246","6200000","false","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","111199","russian","","","69392","slavic","","","1611314099032065","russiantiktok","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6958234607913372933","https://v16-webapp.tiktok.com/fd1f07aa9555e51dd1aa3ca6b0a2cd3a/624643ae/video/tos/useast2a/tos-useast2a-pve-0068/f03a1f949a87464cbbe36950b5b36011/?a=1988&br=2300&bt=1150&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3E7nz7ThwX9zDXq&l=2022033118131101019103203918598729&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amd1a3B4NHU8NTMzNzczM0ApOjY3OzU0N2RlN2ZlOTgzOmdfXjEwNjNrbjVgLS1kMTZzc180LjBhYTReYGAyXl4yXmM6Yw%3D%3D&vl=&vr=","@rubikskubik","","Gleek","kids","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6885423817473231621.mp3","23000000","russia","58.2B","123500","Reply to @rubikskubik pidoras #russia #russian #slavic #russiantiktok","22","1024","576","https://www.tiktok.com/@adilrevi/video/6958234607913372933"
"https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/85ff2a4b3e4795344f2671451c35a931.jpeg?x-expires=1648836000&x-signature=Nz7NVo3JXPKEGLzh19xac%2FJYDqc%3D","19800","4200000","425","62800000","6753937327875212294","serzhmorzh_","serzhmorzh","Welcome to Russia 🇷🇺
Youtube 1,5 mln.","false","848","126800","1607000280","6200000","false","","1654235744976902","сержморж","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","111199","russian","","","1658825585253382","serzhmorzh","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6902013639042010369","https://v16-webapp.tiktok.com/0b7ba390d74d7c241e8b543cb70b92fa/624643a4/video/tos/alisg/tos-alisg-pve-0037c001/14d7c4159e144da3b398271b194e7cda/?a=1988&br=3742&bt=1871&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3E7nz7ThwX9zDXq&l=2022033118131101019103203918598729&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3lmOzg8NW5oeTMzaDczM0ApaWQ7OWkzPGQ1N2dkaGg8aGdrMWNlXzVsLjFfLS0vMTRzc19eNWBhLmIuMi4xYjY1XzY6Yw%3D%3D&vl=&vr=",,"","serzhmorzh","оригинальный звук","true","https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6902013626555599617.mp3","71800000","russia","58.2B","285000","Welcome to Russia! #сержморж #russia #russian #serzhmorzh","12","1024","576","https://www.tiktok.com/@serzhmorzh_/video/6902013639042010369"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/79a11a78c1a5fb7b4e3d663f5861a35f~c5_720x720.jpeg?x-expires=1648836000&x-signature=YYukx5Lb1uiIRDfFVk5y9zd5pn4%3D","275","2500000","47","97000000","6760368158794155013","dylanpage.ning","Dylan Page","LONG FORM ON YOUTUBE👆
Grew up🇿🇦From🇬🇧Live🇦🇺
Owen@smallscreenmarketing.com","false","672","83200","1645778170","6200000","false","","229207","fyp","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","451042","ukraine","","","139261","nato","","","868067","putin","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7068563399923322117","https://v16-webapp.tiktok.com/909f4a0da5b53d18ec562cb428d8e84d/624643ea/video/tos/useast2a/tos-useast2a-ve-0068c001/91909baedb2249feb1663cb64f26f3d0/?a=1988&br=1590&bt=795&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3E7nz7ThwX9zDXq&l=2022033118131101019103203918598729&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amRzazY6Zmc8OzMzNzczM0ApZDU6aDZmaTs2N2hnMzY8aGdzcTUycjRfM2BgLS1kMTZzczBjMi0yNmJiM2MvLTJgNGE6Yw%3D%3D&vl=&vr=",,"","Dylan Page","original sound","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7068563394663877381.mp3","44000000","russia","58.2B","208900","Russia & Ukraine Part 1- Ongoing Series #fyp #russia #ukraine #nato #putin","82","1024","576","https://www.tiktok.com/@dylanpage.ning/video/7068563399923322117"
